"","gene_id","SRR8733171.count","SRR8733183.count","SRR8733192.count","SRR8733197.count","SRR8733198.count","SRR8733200.count","SRR8733205.count","SRR8733221.count","SRR8733230.count","SRR8733232.count","SRR8733237.count","SRR8733238.count","SRR8733255.count","SRR8733265.count","SRR8733266.count","SRR8733270.count","SRR8733275.count","SRR8733278.count","SRR8733291.count","SRR8733302.count","SRR8733313.count","SRR8733317.count","SRR8733319.count","SRR8733328.count","SRR8733334.count","SRR8733337.count","SRR8733340.count","SRR8733345.count","SRR8733359.count","SRR8733371.count","SRR8733374.count"
"340","hsa-miR-16-5p",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"341","hsa-miR-17-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"342","hsa-miR-17-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"343","hsa-miR-181a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"344","hsa-miR-181a-3p",1,1,0,0,1,2,4,0,0,0,4,3,1,5,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0
"345","hsa-miR-181a-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"346","hsa-miR-181b-2-3p",13,3,2,3,4,9,2,15,18,9,21,4,9,18,5,12,11,1,2,26,33,0,31,8,0,6,5,8,18,17,7
"347","hsa-miR-181b-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"348","hsa-miR-181b-5p",0,0,0,0,0,2,0,0,1,1,0,1,0,4,0,0,1,6,0,0,0,0,4,8,0,0,0,0,2,0,0
"349","hsa-miR-181c-3p",6,0,0,4,0,2,5,3,2,3,5,7,0,3,1,3,2,0,1,11,17,1,4,6,3,4,5,2,3,1,0
"350","hsa-miR-181c-5p",24,5,8,5,7,24,10,9,21,14,13,28,11,66,2,12,10,7,16,35,37,14,38,7,1,67,5,11,55,17,9
"351","hsa-miR-181d-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"352","hsa-miR-181d-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"353","hsa-miR-182-3p",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"354","hsa-miR-182-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"355","hsa-miR-1825",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"356","hsa-miR-1827",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"357","hsa-miR-183-3p",29,0,0,15,2,33,38,1,0,5,73,18,11,36,18,10,3,27,1,65,25,34,41,26,0,163,24,15,106,50,11
"358","hsa-miR-183-5p",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"359","hsa-miR-184",53,6,8,10,2,10,13,12,34,28,46,3,12,73,7,22,21,6,5,65,63,7,204,17,2,10,12,19,31,28,5
"360","hsa-miR-1843",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"361","hsa-miR-185-3p",17,8,5,1,0,8,6,18,87,22,18,1,7,26,6,24,12,20,9,21,85,2,74,11,2,2,10,11,11,12,12
"362","hsa-miR-185-5p",3,0,0,2,1,2,2,0,0,0,1,0,0,5,0,5,0,1,0,1,26,0,3,3,0,0,0,2,5,2,1
"363","hsa-miR-186-3p",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"364","hsa-miR-186-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"365","hsa-miR-187-3p",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"366","hsa-miR-187-5p",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"367","hsa-miR-188-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"368","hsa-miR-188-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"369","hsa-miR-18a-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
