"","gene_id","SRR2105144.count","SRR2105145.count","SRR2105146.count","SRR2105154.count","SRR2105158.count","SRR2105187.count","SRR2105188.count","SRR2105192.count","SRR2105194.count","SRR2105197.count","SRR2105198.count","SRR2105228.count","SRR2105230.count","SRR2105272.count","SRR2105275.count","SRR2105276.count","SRR2105319.count","SRR2105320.count","SRR2105321.count","SRR2105322.count","SRR2105325.count","SRR2105326.count","SRR2105373.count","SRR2105374.count","SRR2105376.count","SRR2105429.count","SRR2105430.count","SRR2105431.count","SRR2105432.count","SRR2105437.count","SRR2105438.count","SRR2105471.count","SRR2105472.count","SRR2105477.count","SRR2105478.count","SRR2105488.count","SRR2105491.count","SRR2105492.count"
"2093","hsa-miR-6720-3p",101.048887451749,119.222668203314,66.5439300845108,49.3011561121108,22.3608595514412,39.2156862745098,0,241.773651507459,85.3642921166076,398.001149781099,204.39970362043,47.04443346741,99.0138223295972,69.3394721879377,35.1160585735857,98.941327792619,156.25976623539,110.027644445667,66.1594442606682,61.8658747834694,121.403423576545,61.6998303254666,184.467810367091,135.596897542984,217.18670817346,0,37.0548782747249,288.826539032844,206.957211596502,127.479882081109,76.4818355640535,118.18002757534,105.260387884529,22.5057952422749,26.3716557444059,138.129178407647,0,30.2265479770883
"2094","hsa-miR-6720-5p",60.6293324710495,0,66.5439300845108,49.3011561121108,0,39.2156862745098,18.4702905376702,36.2660477261188,21.3410730291519,221.111749878389,76.6498888576612,70.566650201115,59.4082933977583,27.7357888751751,70.2321171471714,65.9608851950793,93.7558597412338,27.5069111114167,0,15.4664686958674,24.280684715309,30.8499151627333,46.1169525917727,54.2387590171937,144.791138782307,0,18.5274391373624,82.5218682950982,68.9857371988341,63.7399410405545,25.4939451880178,39.3933425251133,0,22.5057952422749,13.185827872203,82.8775070445881,0,0
"2095","hsa-miR-6721-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.280684715309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2096","hsa-miR-6722-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2097","hsa-miR-6722-5p",0,0,0,0,0,0,0,0,21.3410730291519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2098","hsa-miR-6724-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2099","hsa-miR-6726-3p",0,0,0,0,0,0,0,0,21.3410730291519,0,0,0,0,0,0,0,31.2519532470779,0,0,0,0,0,0,0,0,0,0,0,0,15.9349852601386,0,0,0,0,0,0,0,0
"2100","hsa-miR-6726-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2101","hsa-miR-6727-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2102","hsa-miR-6727-5p",0,0,0,0,0,0,18.4702905376702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
