"","gene_id","SRR8507541.count","SRR8507542.count","SRR8507543.count","SRR8507544.count","SRR8507545.count","SRR8507546.count","SRR8507547.count","SRR8507548.count","SRR8507549.count","SRR8507550.count","SRR8507551.count","SRR8507552.count","SRR1917326.count","SRR1917327.count","SRR1917328.count","SRR1917332.count","SRR1917333.count","SRR1917334.count","SRR1917338.count","SRR1917339.count","SRR1917340.count"
"204","hsa-miR-1273h-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"205","hsa-miR-1275",0,0,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"206","hsa-miR-1276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"207","hsa-miR-1277-3p",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","hsa-miR-1277-5p",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209","hsa-miR-1278",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"210","hsa-miR-1279",7,4,9,3,13,25,14,9,26,31,10,5,24,21,41,9,0,9,5,6,7
"211","hsa-miR-128-1-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"212","hsa-miR-128-2-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213","hsa-miR-128-3p",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"214","hsa-miR-1281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215","hsa-miR-1282",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216","hsa-miR-1283",0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
"217","hsa-miR-1284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"218","hsa-miR-1285-3p",68,51,46,60,178,273,180,95,230,242,66,66,319,313,227,98,51,108,70,43,65
"219","hsa-miR-1285-5p",84,93,96,89,74,129,104,53,144,145,59,31,68,99,158,14,17,33,24,11,14
